0000000000000000 0000000000000000 00000000000000f0 0000000000000000 0000000000000000 ffffffffffffffff ffffffffffffffff 0000000000000000 
0000000000000000 0000000000000000 00000000000000f0 0000000000000000 0000000000000000 ffffffffffffffff ffffffffffffffff 0000000000000000 
0000000000000000 0000000000000000 00000000000000f0 0000000000000000 0000000000000000 ffffffffffffffff ffffffffffffffff 0000000000000000 
0000000000000000 0000000000000000 00000000000000f0 0000000000000000 0000000000000000 ffffffffffffffff ffffffffffffffff 0000000000000000 
80400c0600000000 0001020304050607 08090a0b0c0d0eff 0001020304050607 08090a0b0c0d0e0f 7fbffbf9ffffffff 7fbef1fafbfaf9f8 00010a0304050607 
e94618fea85c8f8e 88417420cb2db357 3fffffffffffff95 bc185427038300f0 1d1c1c1e181c1c1c 97fc8f189410cf7a 8aa1f30757a37023 1d5d7c1fc3b3bf59 
3498e1ec4cdb4952 2011aa1dc3ca4481 28c2d7d459e5bec7 7c7942682ebe57de e6ff6b5776c7da4c 97de972a141ffb34 af0f745a17a8a4e1 38d1e37003b75fd5 
8414bef0c2779330 77f50ba06d6512a3 2aa9541d2b8f0d90 48aa5c75017ee1f3 002ff8cd6755f585 4438ea6f13f08eee 2e9512ea78bc9f6d 6aadf8856b4c1183 
e6ee74eda90e8f61 a1d364f518e39fc2 d17f98ac9be2ddcb 448f5bd9015f7d6d 4f201960642f78aa bee0ee576e1cd23c 7d91f60356ff0ab6 c371185438e3d88a 
3c27a95888b149b4 5d0b3d582ac4db63 145b4e4b0cd2999e 021315e702366522 e113e74a04dcb6fd bed0dfb65f2848bc 8acb62f5555ed00a 341bbd430a7698b6 
5ab80abab31746e0 ca48aec3df47d47b 8126642d20c53c19 3a5b4e375730f612 ea5fe10b10d383bb 1f1e5b9bd7bc4bd4 c5543f8483fafb6f da4a641f5446b0bb 
309fc8b88468f5ff 89e06d6bdd3d66b0 9f0d0845e4e3e5f1 bcf3d9206edf86d6 3635421a231aa317 66d6d334a82e4927 fbb1126d40918a16 9d67c159e8bfc331 
2ee351308ef52d6e 21c798cee68bb309 e1318ecd0bad766e b8c6e4220e44007a 980b178d1b6256a5 c8de672395e16594 49d8bacd9f4853b0 8106ddee0aa93624 
53e2f696dfd5611f b3160bd8c362d72f d47c84a0460937ca 956e14c9ef13379e 69326851c2506e47 4b037228a91a0e54 8e3d0270635878c3 c53e7058ca427697 
ddf4c17b84672ecc cd9bf1946db2c6c4 670580be9a552df1 9aaf18b03bd10b42 41d759bf11c167d3 bce9868b342a3335 aa1657340ffb1075 16ffd1bf3bd12340 
0bb0fb9bfe862dd7 abb2edf4208ba928 f279ef08643429fc 4d8bd24814ec4d01 3674e02a54499b95 19c619d271927695 f9cdc49815ba5b29 e00bdd4a64282dbc 
3c830fbef3a1651b 487b64855433bf0e a838bace8d011229 dd7ce72083702217 9b17156ede557ce6 d65055ea0a2c61fa 1a2bb160de3c17e4 cc7be48ad410761e 
c89fe513b249b90f bba8e389e21f255a f31655c0ae4729fd c0e1c4e95b04e463 cd9a041be2bbb549 04f3b93715a0d2c2 ff48bcec4faee6b3 fbbb05db5a0e3471 
8c5d447c6de46f85 4a73b6ef321a3a9e a59f80508adee023 1da4414eb0c767a6 eb31bccfe4defd33 b940492cf40387e7 30e28d6202ddefc4 89a2c44ef6de6823 
be19444161ea1a10 446cb9f7bbec0349 44cb46f686beedcc c9a18fa8f02909fd 23c8fae3b22ac285 aea243a8e5d3e4b6 4042881f177de76b eee0cbb7f2ae03dd 
574c684d3d12a055 6a94607c8c8efba3 58ec0921d7fa853e 1b5fc287890bb4ec c424e9124eaeb51a 87335fcc4a6924d9 8aa737ecc2e39123 0d946820888ab5fa 
fd10c525ddeaa9de a450ad746fc318c2 cd52fe9558b0feec d80935c385aabdfc c02546d78a6b5325 36bec3a8c51e5333 e2ee3f79857c4707 d450fcd140621434 
b1357306d446783e 484d6c1365aa2f5f 9fee7eb788a0c3c1 eca361628fc85bbf a34f46596b00df2b 630383880c5bbb3f aec8ccb945b3f0f4 cdcb4f3149e84bcb 
6d368c3e992a7526 9d9c274f0685aee1 3a34dd4e42448a0b 2844662d4dcfedc6 26348da3bc2bb970 0361baa0b9bafd9c 374555e16e5f0779 3424ef41d7e5fae5 
a69cce97684acd96 e7f8b85a4f660383 642dd473febdd5e3 37424655d81fc41f 53a0a46c614bc09d 8a5b0b6620833175 c9b31d24d6fcf074 43e81642f67fc101 
a25b98191c837988 b9a2c7c4a7618a67 de3d02cea16bad5d 1549fae32c5c1ef2 7e11afde8dff7337 d756dafb4cca7190 68270824e9209667 bf71d2dfa5eae7f7 
25a7dac8e870eff9 7e271ad2ec393e94 8881e0e2619cbf9d 9c5cef53ba5c6d75 deaeb5613e08d414 acd52ab4c9eac2e6 30729a66a1a65412 9ca7b0d2684c96f4 
a73f1b1116c87677 52512b084d694504 b729734f70aef27d 920d3c2ac32c3a47 940fc82ad5ae7c2e 1c96cfce72f680aa 889de4c4255ab48e 940b2b0a57ac3424 
318951aa8731d1ae dcd1ad55dc02c52c a9bdc1fa5ebde23b e354179c2d2c17f0 9cc21e39ac1d3485 c223103409ddf9c9 1a769448d4c03fd5 d855847cdd1dc61c 
0000000000000000 0000000000000000 00000000000000f0 0000000000000000 0000000000000000 ffffffffffffffff ffffffffffffffff 0000000000000000 
80400c0600000000 0001020304050607 08090a0b0c0d0eff 0001020304050607 08090a0b0c0d0e0f 7fbffbf9ffffffff 7fbef1fafbfaf9f8 00010a0304050607 
e94618fea85c8f8e 88417420cb2db357 3fffffffffffff95 bc185427038300f0 1d1c1c1e181c1c1c 97fc8f189410cf7a 8aa1f30757a37023 1d5d7c1fc3b3bf59 
3498e1ec4cdb4952 2011aa1dc3ca4481 28c2d7d459e5bec7 7c7942682ebe57de e6ff6b5776c7da4c 97de972a141ffb34 af0f745a17a8a4e1 38d1e37003b75fd5 
8414bef0c2779330 77f50ba06d6512a3 2aa9541d2b8f0d90 48aa5c75017ee1f3 002ff8cd6755f585 4438ea6f13f08eee 2e9512ea78bc9f6d 6aadf8856b4c1183 
e6ee74eda90e8f61 a1d364f518e39fc2 d17f98ac9be2ddcb 448f5bd9015f7d6d 4f201960642f78aa bee0ee576e1cd23c 7d91f60356ff0ab6 c371185438e3d88a 
3c27a95888b149b4 5d0b3d582ac4db63 145b4e4b0cd2999e 021315e702366522 e113e74a04dcb6fd bed0dfb65f2848bc 8acb62f5555ed00a 341bbd430a7698b6 
5ab80abab31746e0 ca48aec3df47d47b 8126642d20c53c19 3a5b4e375730f612 ea5fe10b10d383bb 1f1e5b9bd7bc4bd4 c5543f8483fafb6f da4a641f5446b0bb 
309fc8b88468f5ff 89e06d6bdd3d66b0 9f0d0845e4e3e5f1 bcf3d9206edf86d6 3635421a231aa317 66d6d334a82e4927 fbb1126d40918a16 9d67c159e8bfc331 
2ee351308ef52d6e 21c798cee68bb309 e1318ecd0bad766e b8c6e4220e44007a 980b178d1b6256a5 c8de672395e16594 49d8bacd9f4853b0 8106ddee0aa93624 
53e2f696dfd5611f b3160bd8c362d72f d47c84a0460937ca 956e14c9ef13379e 69326851c2506e47 4b037228a91a0e54 8e3d0270635878c3 c53e7058ca427697 
ddf4c17b84672ecc cd9bf1946db2c6c4 670580be9a552df1 9aaf18b03bd10b42 41d759bf11c167d3 bce9868b342a3335 aa1657340ffb1075 16ffd1bf3bd12340 
0bb0fb9bfe862dd7 abb2edf4208ba928 f279ef08643429fc 4d8bd24814ec4d01 3674e02a54499b95 19c619d271927695 f9cdc49815ba5b29 e00bdd4a64282dbc 
3c830fbef3a1651b 487b64855433bf0e a838bace8d011229 dd7ce72083702217 9b17156ede557ce6 d65055ea0a2c61fa 1a2bb160de3c17e4 cc7be48ad410761e 
c89fe513b249b90f bba8e389e21f255a f31655c0ae4729fd c0e1c4e95b04e463 cd9a041be2bbb549 04f3b93715a0d2c2 ff48bcec4faee6b3 fbbb05db5a0e3471 
8c5d447c6de46f85 4a73b6ef321a3a9e a59f80508adee023 1da4414eb0c767a6 eb31bccfe4defd33 b940492cf40387e7 30e28d6202ddefc4 89a2c44ef6de6823 
be19444161ea1a10 446cb9f7bbec0349 44cb46f686beedcc c9a18fa8f02909fd 23c8fae3b22ac285 aea243a8e5d3e4b6 4042881f177de76b eee0cbb7f2ae03dd 
574c684d3d12a055 6a94607c8c8efba3 58ec0921d7fa853e 1b5fc287890bb4ec c424e9124eaeb51a 87335fcc4a6924d9 8aa737ecc2e39123 0d946820888ab5fa 
fd10c525ddeaa9de a450ad746fc318c2 cd52fe9558b0feec d80935c385aabdfc c02546d78a6b5325 36bec3a8c51e5333 e2ee3f79857c4707 d450fcd140621434 
b1357306d446783e 484d6c1365aa2f5f 9fee7eb788a0c3c1 eca361628fc85bbf a34f46596b00df2b 630383880c5bbb3f aec8ccb945b3f0f4 cdcb4f3149e84bcb 
6d368c3e992a7526 9d9c274f0685aee1 3a34dd4e42448a0b 2844662d4dcfedc6 26348da3bc2bb970 0361baa0b9bafd9c 374555e16e5f0779 3424ef41d7e5fae5 
a69cce97684acd96 e7f8b85a4f660383 642dd473febdd5e3 37424655d81fc41f 53a0a46c614bc09d 8a5b0b6620833175 c9b31d24d6fcf074 43e81642f67fc101 
a25b98191c837988 b9a2c7c4a7618a67 de3d02cea16bad5d 1549fae32c5c1ef2 7e11afde8dff7337 d756dafb4cca7190 68270824e9209667 bf71d2dfa5eae7f7 
25a7dac8e870eff9 7e271ad2ec393e94 8881e0e2619cbf9d 9c5cef53ba5c6d75 deaeb5613e08d414 acd52ab4c9eac2e6 30729a66a1a65412 9ca7b0d2684c96f4 
